Player,Opponent,Result,Points,Total Games
Giovanni Cischke [US],YUAN MING CHIU [TW],W,3,1
Giovanni Cischke [US],Joshua Denk [US],W,6,2
Giovanni Cischke [US],Arath Alejandro Vera Almaraz [MX],W,9,3
Giovanni Cischke [US],Sebastian Escalante [AR],W,12,4
Giovanni Cischke [US],Jack Roth [AU],W,15,5
Giovanni Cischke [US],Mao Harada [JP],L,15,6
Giovanni Cischke [US],Nick Navarre [US],W,18,7
Giovanni Cischke [US],Kiwamu Endo [JP],W,21,8
Giovanni Cischke [US],Longyu Lin [CN],W,24,9
Giovanni Cischke [US],Naoto Kishida [JP],W,27,10
Giovanni Cischke [US],BYE,W,30,11
Giovanni Cischke [US],Théotime Massaut [FR],W,33,12
Giovanni Cischke [US],Mao Harada [JP],W,36,13
Giovanni Cischke [US],Hirofumi Kimura [JP],W,39,14
Giovanni Cischke [US],James Evans [US],W,42,15
James Evans [US],Nicholas Kan [AU],W,3,1
James Evans [US],Joseph Martin [UK],W,6,2
James Evans [US],Dimitri Koziaris [AU],W,9,3
James Evans [US],James Baek [US],L,9,4
James Evans [US],Aaron Brok [US],W,12,5
James Evans [US],William Brown [US],W,15,6
James Evans [US],Zee Costagliola [US],L,15,7
James Evans [US],Hengyue Zhang [CN],W,18,8
James Evans [US],BYE,W,21,9
James Evans [US],Jude Gerard Lee Wei Cong [SG],W,24,10
James Evans [US],BYE,W,27,11
James Evans [US],Naoto Kishida [JP],W,30,12
James Evans [US],Ko Tsukide [JP],W,33,13
James Evans [US],Montana Mott [US],W,36,14
James Evans [US],Giovanni Cischke [US],L,36,15
Hirofumi Kimura [JP],Paul Oliver Bautista [PH],W,3,1
Hirofumi Kimura [JP],嘉隆 井澤 [JP],L,3,2
Hirofumi Kimura [JP],Guilherme Queiroz [BR],W,6,3
Hirofumi Kimura [JP],Luke Kroll [US],W,9,4
Hirofumi Kimura [JP],Théotime Massaut [FR],W,12,5
Hirofumi Kimura [JP],Zachary Weed [US],W,15,6
Hirofumi Kimura [JP],Kazuki Ogushi [JP],W,18,7
Hirofumi Kimura [JP],Daanvir Singh Narula [SG],W,21,8
Hirofumi Kimura [JP],Shunsuke Minami [JP],W,24,9
Hirofumi Kimura [JP],Mao Harada [JP],W,27,10
Hirofumi Kimura [JP],BYE,W,30,11
Hirofumi Kimura [JP],Aaron Brok [US],W,33,12
Hirofumi Kimura [JP],Víctor Medina [ES],W,36,13
Hirofumi Kimura [JP],Giovanni Cischke [US],L,36,14
Montana Mott [US],Patrick Jan Cabangin [PH],W,3,1
Montana Mott [US],Zee Costagliola [US],L,3,2
Montana Mott [US],Oliver Ramsay [AU],W,6,3
Montana Mott [US],Stefan Mott [US],W,9,4
Montana Mott [US],Matteo Velata [IT],W,12,5
Montana Mott [US],Francesco Pio Pero [IT],W,15,6
Montana Mott [US],Alister Sandover [AU],W,18,7
Montana Mott [US],Víctor Medina [ES],W,21,8
Montana Mott [US],Ko Tsukide [JP],L,21,9
Montana Mott [US],Louis Markl [DE],W,24,10
Montana Mott [US],BYE,W,27,11
Montana Mott [US],Giuseppe Musicco [IT],W,30,12
Montana Mott [US],Michael Kelsch [DE],W,33,13
Montana Mott [US],James Evans [US],L,33,14
Ko Tsukide [JP],Jean López [CR],W,3,1
Ko Tsukide [JP],Alex Gómez Berna [ES],W,6,2
Ko Tsukide [JP],AYUMU IWASAKI [JP],W,9,3
Ko Tsukide [JP],Zee Costagliola [US],W,12,4
Ko Tsukide [JP],Yuma Kinugawa [JP],W,15,5
Ko Tsukide [JP],Louis Markl [DE],W,18,6
Ko Tsukide [JP],Joji Kaieda [AU],W,21,7
Ko Tsukide [JP],Mao Harada [JP],W,24,8
Ko Tsukide [JP],Montana Mott [US],W,27,9
Ko Tsukide [JP],Giuseppe Musicco [IT],L,27,10
Ko Tsukide [JP],BYE,W,30,11
Ko Tsukide [JP],Nick Navarre [US],W,33,12
Ko Tsukide [JP],James Evans [US],L,33,13
Michael Kelsch [DE],Ismat Myron Beg [MY],W,3,1
Michael Kelsch [DE],Marco Hemantha Kaludura Silva [IT],L,3,2
Michael Kelsch [DE],Angelo Piscitelli [IT],W,6,3
Michael Kelsch [DE],Nikolaj Høj Nielsen [DK],W,9,4
Michael Kelsch [DE],Dorian Quiñonez [PE],W,12,5
Michael Kelsch [DE],Sebastian Rodriguez [PE],W,15,6
Michael Kelsch [DE],JENN-CHAU DUH [TW],W,18,7
Michael Kelsch [DE],Zee Costagliola [US],W,21,8
Michael Kelsch [DE],Víctor Medina [ES],W,24,9
Michael Kelsch [DE],Victor Vieira [BR],W,27,10
Michael Kelsch [DE],BYE,W,30,11
Michael Kelsch [DE],Masayoshi Kuroo [AU],W,33,12
Michael Kelsch [DE],Montana Mott [US],L,33,13
Mao Harada [JP],Kazuya Shiraishi [JP],W,3,1
Mao Harada [JP],Seongjae Jeong [KR],W,6,2
Mao Harada [JP],Dylan Salvanera [US],W,9,3
Mao Harada [JP],Marco Hemantha Kaludura Silva [IT],W,12,4
Mao Harada [JP],Raghav Malaviya [US],W,15,5
Mao Harada [JP],Giovanni Cischke [US],W,18,6
Mao Harada [JP],James Baek [US],W,21,7
Mao Harada [JP],Ko Tsukide [JP],L,21,8
Mao Harada [JP],Carlos Cabal [ES],W,24,9
Mao Harada [JP],Hirofumi Kimura [JP],L,24,10
Mao Harada [JP],BYE,W,27,11
Mao Harada [JP],嘉隆 井澤 [JP],W,30,12
Mao Harada [JP],Giovanni Cischke [US],L,30,13
Víctor Medina [ES],SHIH-CHUN LO [TW],W,3,1
Víctor Medina [ES],Bruno Rebello [BR],W,6,2
Víctor Medina [ES],Jin-Hao Jiang [TW],W,9,3
Víctor Medina [ES],Aurélien Soula [FR],W,12,4
Víctor Medina [ES],Yuki Tanaka [JP],W,15,5
Víctor Medina [ES],Jude Gerard Lee Wei Cong [SG],W,18,6
Víctor Medina [ES],Justin Tang [US],W,21,7
Víctor Medina [ES],Montana Mott [US],L,21,8
Víctor Medina [ES],Michael Kelsch [DE],L,21,9
Víctor Medina [ES],Longyu Lin [CN],W,24,10
Víctor Medina [ES],BYE,W,27,11
Víctor Medina [ES],James Baek [US],W,30,12
Víctor Medina [ES],Hirofumi Kimura [JP],L,30,13
Giuseppe Musicco [IT],Aldo Loyola [MX],L,0,1
